study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
PAL0809,91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18,202,3550,FEMALE
PAL0809,92,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205,4300,MALE
PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34,17.1,185,3400,FEMALE
PAL0809,94,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186,4450,MALE
PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187,3300,FEMALE
PAL0809,96,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208,4300,MALE
PAL0809,97,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190,3700,FEMALE
PAL0809,98,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08,40.3,18.5,196,4350,MALE
PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10,33.1,16.1,178,2900,FEMALE
PAL0809,100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,2008-11-10,43.2,18.5,192,4100,MALE
PAL0910,101,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2009-11-09,35,17.9,192,3725,FEMALE
PAL0910,102,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2009-11-09,41,20,203,4725,MALE
PAL0910,103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,2009-11-15,37.7,16,183,3075,FEMALE
PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,2009-11-15,37.8,20,190,4250,MALE
PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,2009-11-15,37.9,18.6,193,2925,FEMALE
PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2009-11-15,39.7,18.9,184,3550,MALE
PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2009-11-15,38.6,17.2,199,3750,FEMALE
PAL0910,108,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2009-11-15,38.2,20,190,3900,MALE
PAL0910,109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2009-11-20,38.1,17,181,3175,FEMALE
PAL0910,110,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2009-11-20,43.2,19,197,4775,MALE
PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2009-11-12,38.1,16.5,198,3825,FEMALE
PAL0910,112,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2009-11-12,45.6,20.3,191,4600,MALE
PAL0910,113,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2009-11-15,39.7,17.7,193,3200,FEMALE
PAL0910,114,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2009-11-15,42.2,19.5,197,4275,MALE
PAL0910,115,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,2009-11-17,39.6,20.7,191,3900,FEMALE
PAL0910,116,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,2009-11-17,42.7,18.3,196,4075,MALE
PAL0910,117,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,2009-11-18,38.6,17,188,2900,FEMALE
PAL0910,118,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,2009-11-18,37.3,20.5,199,3775,MALE
PAL0910,119,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,2009-11-22,35.7,17,189,3350,FEMALE
PAL0910,120,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,2009-11-22,41.1,18.6,189,3325,MALE
PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,2009-11-17,36.2,17.2,187,3150,FEMALE
PAL0910,122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,2009-11-17,37.7,19.8,198,3500,MALE
PAL0910,123,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,2009-11-16,40.2,17,176,3450,FEMALE
PAL0910,124,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,2009-11-16,41.4,18.5,202,3875,MALE
PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,2009-11-18,35.2,15.9,186,3050,FEMALE
PAL0910,126,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,2009-11-18,40.6,19,199,4000,MALE
PAL0910,127,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,2009-11-21,38.8,17.6,191,3275,FEMALE
PAL0910,128,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,2009-11-21,41.5,18.3,195,4300,MALE
PAL0910,129,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,2009-11-18,39,17.1,191,3050,FEMALE
PAL0910,130,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A2,Yes,2009-11-18,44.1,18,210,4000,MALE
PAL0910,131,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A1,No,2009-11-23,38.5,17.9,190,3325,FEMALE
PAL0910,132,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A2,No,2009-11-23,43.1,19.2,197,3500,MALE
PAL0910,133,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,2009-11-10,36.8,18.5,193,3500,FEMALE
PAL0910,134,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,2009-11-10,37.5,18.5,199,4475,MALE
PAL0910,135,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,2009-11-13,38.1,17.6,187,3425,FEMALE
PAL0910,136,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,2009-11-13,41.1,17.5,190,3900,MALE
PAL0910,137,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,2009-11-16,35.6,17.5,191,3175,FEMALE
PAL0910,138,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,2009-11-16,40.2,20.1,200,3975,MALE
PAL0910,139,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,2009-11-16,37,16.5,185,3400,FEMALE
PAL0910,140,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A2,No,2009-11-16,39.7,17.9,193,4250,MALE
PAL0910,141,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,2009-11-14,40.2,17.1,193,3400,FEMALE
PAL0910,142,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,2009-11-14,40.6,17.2,187,3475,MALE
PAL0910,143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,2009-11-16,32.1,15.5,188,3050,FEMALE
PAL0910,144,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A2,Yes,2009-11-16,40.7,17,190,3725,MALE
PAL0910,145,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A1,Yes,2009-11-16,37.3,16.8,192,3000,FEMALE
PAL0910,146,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A2,Yes,2009-11-16,39,18.7,185,3650,MALE
PAL0910,147,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,2009-11-13,39.2,18.6,190,4250,MALE
PAL0910,148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,2009-11-13,36.6,18.4,184,3475,FEMALE
PAL0910,149,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A1,Yes,2009-11-17,36,17.8,195,3450,FEMALE
PAL0910,150,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A2,Yes,2009-11-17,37.8,18.1,193,3750,MALE
PAL0910,151,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,Yes,2009-11-17,36,17.1,187,3700,FEMALE
PAL0910,152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,2009-11-17,41.5,18.5,201,4000,MALE
PAL0708,1,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A1,Yes,2007-11-27,46.1,13.2,211,4500,FEMALE
PAL0708,2,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A2,Yes,2007-11-27,50,16.3,230,5700,MALE
PAL0708,3,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,2007-11-27,48.7,14.1,210,4450,FEMALE
PAL0708,4,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,2007-11-27,50,15.2,218,5700,MALE
PAL0708,5,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,2007-11-18,47.6,14.5,215,5400,MALE
PAL0708,6,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A2,Yes,2007-11-18,46.5,13.5,210,4550,FEMALE
PAL0708,7,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,2007-11-27,45.4,14.6,211,4800,FEMALE
PAL0708,8,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,2007-11-27,46.7,15.3,219,5200,MALE
PAL0708,9,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,2007-11-27,43.3,13.4,209,4400,FEMALE
PAL0708,10,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,2007-11-27,46.8,15.4,215,5150,MALE
PAL0708,11,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,2007-11-27,40.9,13.7,214,4650,FEMALE
PAL0708,12,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,No,2007-11-27,49,16.1,216,5550,MALE
PAL0708,13,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A1,Yes,2007-11-29,45.5,13.7,214,4650,FEMALE
PAL0708,14,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A2,Yes,2007-11-29,48.4,14.6,213,5850,MALE
PAL0708,15,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,2007-12-03,45.8,14.6,210,4200,FEMALE
PAL0708,16,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A2,Yes,2007-12-03,49.3,15.7,217,5850,MALE
PAL0708,17,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,2007-11-27,42,13.5,210,4150,FEMALE
PAL0708,18,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,2007-11-27,49.2,15.2,221,6300,MALE
PAL0708,19,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A1,Yes,2007-11-27,46.2,14.5,209,4800,FEMALE
PAL0708,20,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,Yes,2007-11-27,48.7,15.1,222,5350,MALE
PAL0708,21,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N41A1,Yes,2007-11-27,50.2,14.3,218,5700,MALE
PAL0708,22,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N41A2,Yes,2007-11-27,45.1,14.5,215,5000,FEMALE
PAL0708,23,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,2007-11-27,46.5,14.5,213,4400,FEMALE
PAL0708,24,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,2007-11-27,46.3,15.8,215,5050,MALE
PAL0708,25,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A1,Yes,2007-11-29,42.9,13.1,215,5000,FEMALE
PAL0708,26,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N44A2,Yes,2007-11-29,46.1,15.1,215,5100,MALE
PAL0708,28,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N46A2,Yes,2007-11-29,47.8,15,215,5650,MALE
PAL0708,29,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2007-11-29,48.2,14.3,210,4600,FEMALE
PAL0708,30,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2007-11-29,50,15.3,220,5550,MALE
PAL0708,31,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N50A1,Yes,2007-11-29,47.3,15.3,222,5250,MALE
PAL0708,32,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N50A2,Yes,2007-11-29,42.8,14.2,209,4700,FEMALE
PAL0708,33,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,2007-12-03,45.1,14.5,207,5050,FEMALE
PAL0708,34,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,2007-12-03,59.6,17,230,6050,MALE
PAL0809,35,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A1,Yes,2008-11-13,49.1,14.8,220,5150,FEMALE
PAL0809,36,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N2A2,Yes,2008-11-13,48.4,16.3,220,5400,MALE
PAL0809,37,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A1,Yes,2008-11-02,42.6,13.7,213,4950,FEMALE
PAL0809,38,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N4A2,Yes,2008-11-02,44.4,17.3,219,5250,MALE
PAL0809,39,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A1,Yes,2008-11-09,44,13.6,208,4350,FEMALE
PAL0809,40,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A2,Yes,2008-11-09,48.7,15.7,208,5350,MALE
PAL0809,41,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,No,2008-11-04,42.7,13.7,208,3950,FEMALE
PAL0809,42,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,No,2008-11-04,49.6,16,225,5700,MALE
PAL0809,43,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N7A1,Yes,2008-11-04,45.3,13.7,210,4300,FEMALE
PAL0809,44,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N7A2,Yes,2008-11-04,49.6,15,216,4750,MALE
PAL0809,45,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,2008-11-03,50.5,15.9,222,5550,MALE
PAL0809,46,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,2008-11-03,43.6,13.9,217,4900,FEMALE
PAL0809,47,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,2008-11-09,45.5,13.9,210,4200,FEMALE
